00173-0	1677	210	-424
00174-0	1677	210	-357
00175-0	1677	210	-279
00176-0	1677	210	-212
00177-0	1677	210	-145
00178-0	1677	210	-67
00179-0	1677	210	0
00180-0	1677	210	67
00181-0	1677	210	145
00182-0	1677	210	212
00183-0	1677	210	279
00184-0	1677	210	357
00185-0	1677	210	424
00186-0	1677	210	491
00187-0	1677	210	569
00188-0	1677	210	636
00189-0	1677	210	703
00190-0	1677	210	781
00191-0	1677	210	848
00192-0	1677	210	915
00193-0	1677	210	993
00194-0	1677	210	1061
00195-0	1677	210	1128
00196-0	1677	210	1206
00197-0	1677	210	1273
00198-0	1677	210	1340
00199-0	1677	210	1418
00200-0	1677	210	1485
00201-0	1677	210	1552
00202-0	1677	210	1630
00203-0	1677	210	1697
00204-0	1677	210	1764
00205-0	1666	284	-1764
00206-0	1666	284	-1697
00207-0	1666	284	-1630
00208-0	1666	284	-1552
00209-0	1666	284	-1485
00210-0	1666	284	-1418
00211-0	1666	284	-1340
00212-0	1666	284	-1273
00213-0	1666	284	-1206
00214-0	1666	284	-1128
00215-0	1666	284	-1061
00216-0	1666	284	-993
00217-0	1666	284	-915
00218-0	1666	284	-848
00219-0	1666	284	-781
00220-0	1666	284	-703
00221-0	1666	284	-636
00222-0	1666	284	-569
00223-0	1666	284	-491
00224-0	1666	284	-424
00225-0	1666	284	-357
00226-0	1666	284	-279
00227-0	1666	284	-212
00228-0	1666	284	-145
00229-0	1666	284	-67
00230-0	1666	284	0
00231-0	1666	284	67
00232-0	1666	284	145
00233-0	1666	284	212
00234-0	1666	284	279
00235-0	1666	284	357
00236-0	1666	284	424
00237-0	1666	284	491
00238-0	1666	284	569
00239-0	1666	284	636
00240-0	1666	284	703
00241-0	1666	284	781
00242-0	1666	284	848
00243-0	1666	284	915
00244-0	1666	284	993
00245-0	1666	284	1061
00246-0	1666	284	1128
00247-0	1666	284	1206
00248-0	1666	284	1273
00249-0	1666	284	1340
00250-0	1666	284	1418
00251-0	1666	284	1485
00252-0	1666	284	1552
00253-0	1666	284	1630
00254-0	1666	284	1697
00255-0	1666	284	1764
00256-0	1653	351	-1764
00257-0	1653	351	-1697
00258-0	1653	351	-1630
00259-0	1653	351	-1552
00260-0	1653	351	-1485
00261-0	1653	351	-1418
00262-0	1653	351	-1340
00263-0	1653	351	-1273
00264-0	1653	351	-1206
00265-0	1653	351	-1128
